"",logFC,AveExpr,t,P.Value,adj.P.Val,B
102_228.232285,-0.77929,5.1001e-16,-3.4222,0.0034432,0.025505,-2.1615
1088_557.276635,0.76873,-1.6306e-16,3.396,0.0036395,0.026794,-2.2153
1219_626.100081,0.77149,3.4278e-16,3.3322,0.0041672,0.030492,-2.3467
315_670.319452,0.78548,-5.5511e-18,3.3206,0.0042707,0.031001,-2.3704
1057_290.172762,-0.77187,6.7862e-16,-3.3186,0.0042885,0.031001,-2.3744
1132_514.678717,0.82011,-6.0923e-16,3.305,0.0044135,0.031714,-2.4023
1215_336.191886,0.71241,-7.4662e-16,3.3,0.0044606,0.031862,-2.4125
1162_346.603934,0.7221,1.6237e-16,3.286,0.0045955,0.032631,-2.4414
788_377.180691,-0.74595,1.6098e-16,-3.2767,0.0046868,0.033083,-2.4604
207_421.232635,-0.72463,1.3878e-18,-3.2724,0.004729,0.033186,-2.4691
643_111.25995,0.78643,-6.3699e-16,3.2373,0.005094,0.035235,-2.5409
1205_317.151992,0.78281,4.6629e-16,3.2361,0.0051062,0.035235,-2.5432
790_111.460636,0.85648,1.6098e-16,3.2359,0.0051091,0.035235,-2.5438
674_259.205739,-0.75396,-1.6237e-16,-3.2203,0.0052802,0.036207,-2.5756
764_213.018366,-0.94535,-1.2629e-16,-3.2174,0.0053117,0.036216,-2.5813
185_265.888636,-0.80552,-7.8826e-16,-3.2113,0.0053809,0.03648,-2.5938
188_559.28663,0.72052,-1.3878e-18,3.1995,0.0055166,0.037191,-2.6178
808_284.294892,-0.8731,-2.72e-16,-3.182,0.005724,0.038373,-2.6534
215_331.284378,-0.73009,-7.1471e-16,-3.1402,0.006252,0.04168,-2.7384
647_556.274078,0.74082,5.0029e-16,3.1355,0.0063146,0.041865,-2.748
169_782.115662,-0.95685,-4.5797e-16,-3.1235,0.006476,0.042699,-2.7723
986_125.986368,-0.79981,1.1102e-17,-3.1116,0.0066405,0.043544,-2.7964
1106_354.086206,0.71859,7.1262e-16,3.0961,0.0068606,0.04462,-2.8278
1062_493.22561,0.67142,5.8009e-16,3.0935,0.0068976,0.04462,-2.8329
1027_241.973799,-0.79038,5.9952e-16,-3.0922,0.0069162,0.04462,-2.8355
1064_470.076145,0.73231,-5.0515e-16,3.0702,0.0072445,0.046292,-2.8801
895_473.344884,-0.81794,-2.8311e-16,-3.0697,0.0072524,0.046292,-2.8811
1124_125.024753,0.66373,1.6653e-17,3.0473,0.007601,0.04826,-2.9262
230_294.206475,0.70302,-1.9151e-16,3.0444,0.0076482,0.048304,-2.9321
1289_347.29456,-0.70419,-1.249e-17,-3.0334,0.0078258,0.048472,-2.9541
1148_167.067928,-0.71313,1.7972e-16,-3.0333,0.0078284,0.048472,-2.9544
998_783.11886,0.7471,-5.0238e-16,3.0331,0.0078307,0.048472,-2.9547
896_185.431769,0.76745,-7.8826e-16,3.0328,0.0078363,0.048472,-2.9554
628_185.431959,0.73591,-3.3445e-16,3.0171,0.0080993,0.049842,-2.987
613_172.977045,-1.2354,-4.2188e-16,-2.9943,0.0084943,0.052006,-3.0326
1174_223.074796,0.65285,-1.0089e-15,2.9818,0.0087201,0.053117,-3.0577
736_353.090855,-0.75058,-7.9103e-16,-2.9614,0.0091008,0.055156,-3.0986
1128_254.96179,-0.74326,-3.2335e-16,-2.9558,0.0092072,0.055521,-3.1097
17_613.297968,0.70976,-3.5388e-16,2.9443,0.0094323,0.056427,-3.1327
1037_317.150903,0.71651,-3.2474e-16,2.9433,0.0094516,0.056427,-3.1347
1108_307.115302,-0.68737,-3.5666e-16,-2.9338,0.0096409,0.056871,-3.1536
821_190.002366,-0.85623,5.225e-16,-2.9331,0.0096539,0.056871,-3.1549
31_557.273604,0.71056,3.3584e-16,2.9324,0.0096681,0.056871,-3.1563
45_229.2163,0.62995,-7.8063e-18,2.9193,0.0099366,0.058165,-3.1825
661_182.044863,0.69916,-5.218e-16,2.9152,0.010023,0.058385,-3.1907
1_556.276575,0.70344,-1.3767e-15,2.9046,0.010246,0.0594,-3.2117
1183_184.073397,0.63578,-5.9952e-16,2.9004,0.010336,0.059631,-3.22
41_558.280841,0.71021,-1.5682e-16,2.891,0.01054,0.060277,-3.2387
1270_407.219376,0.63458,-8.1185e-16,2.8906,0.010549,0.060277,-3.2394
728_220.996962,-0.78477,2.8311e-16,-2.8816,0.010749,0.061065,-3.2574
617_219.026637,0.71027,5.0376e-16,2.8799,0.010788,0.061065,-3.2608
1012_177.957735,-0.7593,1.6306e-16,-2.8619,0.011199,0.063095,-3.2964
20_556.274846,0.69623,5.1903e-16,2.8533,0.011401,0.06373,-3.3133
71_557.278183,0.67863,-3.5874e-16,2.8526,0.011418,0.06373,-3.3148
741_175.11902,0.76794,-3.1364e-16,2.8406,0.011706,0.064925,-3.3385
722_279.170421,0.758,5.9397e-16,2.8392,0.011741,0.064925,-3.3413
1225_351.177902,-0.6663,7.4385e-16,-2.8345,0.011854,0.06525,-3.3504
119_293.208814,-0.56928,9.5757e-16,-2.8318,0.011922,0.065325,-3.3558
47_359.064934,0.71386,-6.3907e-16,2.7912,0.012968,0.070499,-3.4357
15_203.052691,0.66701,5.3152e-16,2.7906,0.012984,0.070499,-3.4368
836_186.981061,-0.82025,5.1903e-16,-2.785,0.013136,0.071004,-3.4478
1023_208.707438,0.68774,-8.5279e-16,2.7788,0.013304,0.071591,-3.4599
826_318.969947,0.7615,-1.4155e-16,2.7631,0.013744,0.073629,-3.4907
951_556.272516,0.7182,1.7347e-16,2.7602,0.013825,0.073735,-3.4963
210_272.222126,0.67817,-1.3878e-18,2.745,0.014266,0.07575,-3.526
697_782.119356,0.87476,6.4115e-16,2.7413,0.014376,0.075996,-3.5332
619_239.105676,0.74697,-2.8935e-16,2.7331,0.014623,0.076962,-3.5493
1021_178.963806,0.7083,-1.6168e-16,2.7253,0.014857,0.077782,-3.5643
999_299.167642,0.63372,7.4801e-16,2.7227,0.014938,0.077782,-3.5695
1042_625.097675,0.69163,-3.3307e-16,2.72,0.015022,0.077782,-3.5748
1026_361.146989,-0.52053,8.2781e-16,-2.7195,0.015038,0.077782,-3.5757
259_293.08441,0.667,1.9429e-17,2.7107,0.015312,0.078859,-3.5928
813_676.235187,0.71569,2.8866e-16,2.6998,0.015658,0.080296,-3.6139
956_283.102842,0.67688,-8.5409e-16,2.6909,0.015947,0.08143,-3.6311
723_556.279857,0.81344,-1.3045e-16,2.6729,0.016547,0.08414,-3.6659
