"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1183_184.073397,0.80045,-6.8348e-16,3.2783,0.0043675,0.039483,-2.3368
958_231.210817,0.85211,-5.9674e-16,3.274,0.0044088,0.039483,-2.3459
1093_103.591393,0.9022,-1.4537e-16,3.274,0.0044089,0.039483,-2.3459
102_228.232285,-0.73839,-5.8911e-16,-3.2668,0.0044779,0.039804,-2.3608
1055_230.946164,-0.81192,6.7168e-16,-3.2579,0.0045657,0.040286,-2.3794
969_349.162254,-0.78872,-5.2874e-16,-3.2512,0.0046321,0.040573,-2.3933
1012_177.957735,-0.84032,7.7716e-16,-3.2444,0.0047006,0.040875,-2.4073
894_340.188413,-0.90317,1.5543e-16,-3.2342,0.0048058,0.041489,-2.4285
821_190.002366,-0.91976,-6.5642e-16,-3.2127,0.0050354,0.04316,-2.4732
228_335.174055,0.77237,-5.3221e-16,3.2053,0.0051167,0.043546,-2.4886
691_316.211948,0.92208,-1.4294e-16,3.202,0.0051536,0.043551,-2.4955
668_161.981373,0.84017,3.0254e-16,3.1893,0.0052966,0.044447,-2.5217
270_562.364139,-0.8446,6.0993e-16,-3.1785,0.0054216,0.04518,-2.544
728_220.996962,-0.87074,5.7732e-16,-3.1747,0.0054666,0.045241,-2.5519
1198_156.362178,0.77597,1.6653e-17,3.1538,0.0057192,0.047007,-2.5951
720_226.180245,0.71884,1.8839e-16,3.138,0.0059177,0.048252,-2.6277
201_164.930065,-0.95781,2.5258e-16,-3.1354,0.0059511,0.048252,-2.633
707_171.101638,0.77311,-1.7902e-16,3.1135,0.0062386,0.050244,-2.6781
72_381.046876,0.86427,1.7876e-16,3.1056,0.0063449,0.05076,-2.6942
779_243.159181,0.76777,6.6128e-16,3.0787,0.0067231,0.053429,-2.7494
1142_103.631254,-0.80468,6.363e-16,-3.0578,0.0070326,0.05552,-2.7923
1026_361.146989,-0.78078,-1.5543e-16,-3.054,0.00709,0.055608,-2.8
1156_343.131535,0.80463,4.6491e-16,3.0473,0.007193,0.055758,-2.8137
733_338.232682,0.78005,6.6891e-16,3.0405,0.0072983,0.055758,-2.8276
950_237.221385,0.77133,3.1572e-16,3.039,0.0073218,0.055758,-2.8306
808_284.294892,-0.8741,4.0246e-16,-3.0378,0.0073413,0.055758,-2.8332
95_605.38706,-0.68745,2.047e-16,-3.0378,0.0073415,0.055758,-2.8332
951_556.272516,0.80027,4.6213e-16,3.0166,0.0076833,0.057987,-2.8765
59_239.16186,0.7991,-4.6352e-16,2.9944,0.0080572,0.060144,-2.9216
217_196.865172,-0.95681,3.525e-16,-2.9937,0.0080694,0.060144,-2.9231
16_244.190811,0.69858,-1.3878e-18,2.9819,0.0082766,0.061308,-2.9471
1184_432.259241,0.75876,-2.0817e-17,2.9762,0.0083782,0.06168,-2.9587
207_421.232635,-0.71595,-7.154e-16,-2.9489,0.0088817,0.064988,-3.0141
790_111.460636,0.8304,5.6621e-16,2.9262,0.0093228,0.067802,-3.06
202_254.823806,-0.95651,-2.3592e-16,-2.9221,0.0094044,0.067984,-3.0682
1157_103.641223,-0.74705,-3.1641e-16,-2.9163,0.0095204,0.06841,-3.0798
278_251.200656,0.71896,-1.674e-16,2.9055,0.0097415,0.069582,-3.1016
952_239.935583,-0.85917,1.4641e-16,-2.8919,0.010028,0.071208,-3.129
640_305.247023,-0.77968,7.7438e-16,-2.8769,0.010353,0.073079,-3.1591
928_191.104328,0.70558,-5.2597e-16,2.8208,0.011662,0.08184,-3.2715
904_203.888398,-0.77237,4.5103e-16,-2.817,0.011756,0.082018,-3.279
84_561.360892,-0.6773,-5.5511e-18,-2.8082,0.011978,0.083087,-3.2967
936_268.154433,0.75531,1.3878e-18,2.7937,0.012351,0.083513,-3.3255
1181_348.326174,-0.75489,4.6352e-16,-2.7934,0.012358,0.083513,-3.326
960_289.626724,0.76308,3.0531e-16,2.7934,0.012358,0.083513,-3.326
697_782.119356,0.92441,4.2327e-16,2.7921,0.012393,0.083513,-3.3287
199_331.167108,-0.74838,6.9389e-18,-2.7904,0.012438,0.083513,-3.3321
196_645.164549,-0.7993,4.4409e-16,-2.7896,0.012457,0.083513,-3.3336
935_517.371163,-0.77012,-4.6794e-16,-2.7834,0.012623,0.084156,-3.346
1060_298.164995,0.73942,3.2474e-16,2.7762,0.012816,0.084765,-3.3603
1118_185.042121,0.68693,5.3395e-16,2.7747,0.012856,0.084765,-3.3632
1191_255.15678,0.69691,1.818e-16,2.7344,0.013994,0.091285,-3.4428
795_110.779387,0.80998,4.1078e-16,2.7343,0.013997,0.091285,-3.443
805_269.247605,0.62518,2.1649e-16,2.7275,0.014199,0.092099,-3.4564
723_556.279857,0.83194,8.3267e-18,2.712,0.01467,0.094646,-3.4871
134_649.413266,-0.8238,-1.4433e-16,-2.6996,0.015057,0.09662,-3.5114
694_363.274192,-0.72172,1.458e-16,-2.6953,0.015194,0.096981,-3.5199
629_202.180242,0.77611,-7.1783e-16,2.6878,0.015433,0.09799,-3.5345
225_224.128204,0.69085,6.9875e-16,2.684,0.015555,0.098244,-3.5419
614_301.17805,-0.81114,4.0523e-16,-2.6661,0.016148,0.10145,-3.5769
273_115.036603,-0.79886,-2.5951e-16,-2.6564,0.016481,0.10301,-3.5959
613_172.977045,-1.1235,9.1593e-17,-2.6438,0.016919,0.10474,-3.6204
887_258.170081,0.70251,1.8041e-16,2.6434,0.016933,0.10474,-3.6212
1032_223.063738,0.66917,-1.707e-16,2.6229,0.017671,0.10875,-3.661
903_451.215031,0.7528,-4.2631e-16,2.6119,0.018081,0.1107,-3.6823
168_215.200639,0.61423,6.127e-16,2.6066,0.01828,0.11135,-3.6925
82_517.334718,-0.63602,-9.5306e-16,-2.586,0.019079,0.11563,-3.7323
153_709.470666,-0.83114,3.858e-16,-2.5674,0.019828,0.11957,-3.7681
959_172.096883,0.67793,6.8695e-16,2.5496,0.020574,0.12344,-3.8024
62_243.231947,0.63565,2.0131e-16,2.5167,0.022016,0.13144,-3.8651
1071_317.120788,-0.6412,7.272e-16,-2.5051,0.022549,0.13395,-3.8872
736_353.090855,-0.69453,1.8041e-17,-2.4979,0.022885,0.13528,-3.901
1092_281.136043,-0.65828,4.9717e-16,-2.487,0.023403,0.13767,-3.9216
836_186.981061,-0.78287,-4.9405e-16,-2.4758,0.023947,0.14017,-3.9428
1067_367.245576,-0.71587,-3.0254e-16,-2.4688,0.024295,0.14152,-3.9561
1225_351.177902,-0.63692,5.1972e-16,-2.4374,0.025905,0.14475,-4.0153
83_473.308531,-0.60544,1.8457e-16,-2.4019,0.027846,0.14475,-4.0817
1079_493.313623,0.62798,1.1471e-17,2.3947,0.028252,0.14475,-4.095
96_429.282343,-0.57546,8.3822e-16,-2.3906,0.02849,0.14475,-4.1027
236_326.23268,-0.54053,-4.826e-16,-2.3807,0.029064,0.14475,-4.1209
1218_323.18299,-0.63261,-4.996e-16,-2.351,0.030865,0.14475,-4.176
142_241.216301,0.53128,-4.7462e-16,2.3418,0.031443,0.14475,-4.1929
880_204.440478,0.6494,-6.9389e-18,2.3401,0.031552,0.14475,-4.1961
193_214.089717,0.63178,3.3237e-16,2.3385,0.031652,0.14475,-4.199
722_279.170421,0.68449,5.964e-16,2.334,0.031938,0.14475,-4.2072
27_398.232663,-0.78682,-6.016e-16,-2.3301,0.032191,0.14475,-4.2144
1087_325.235033,-0.67207,-1.5821e-16,-2.3131,0.03331,0.14475,-4.2456
1014_325.162256,-0.62374,-5.0238e-16,-2.3008,0.034141,0.14475,-4.268
219_269.138448,0.60571,-5.4418e-16,2.3006,0.034153,0.14475,-4.2683
169_782.115662,-0.75802,4.6629e-16,-2.2929,0.034686,0.14475,-4.2824
170_217.156372,0.51627,4.8989e-16,2.2899,0.034892,0.14475,-4.2878
90_186.112544,0.52565,-9.253e-16,2.2707,0.036261,0.14475,-4.3228
146_230.175161,0.50832,2.4212e-16,2.2358,0.038869,0.14475,-4.3858
1094_111.058089,-0.7443,3.6637e-16,-2.2325,0.039119,0.14475,-4.3916
156_209.982208,0.56132,7.8063e-16,2.2287,0.039416,0.14475,-4.3984
789_190.979421,-0.75058,-1.2212e-16,-2.2087,0.041006,0.14475,-4.4341
45_229.2163,0.59272,-7.043e-16,2.2065,0.041188,0.14475,-4.4381
799_557.277413,0.53593,8.3804e-16,2.1915,0.042421,0.14475,-4.4648
687_385.256148,-0.51037,4.656e-16,-2.1912,0.042451,0.14475,-4.4654
1041_193.002039,-0.69685,2.6368e-16,-2.1857,0.042912,0.14475,-4.4751
1212_263.84408,-0.6577,-2.8588e-16,-2.1826,0.043178,0.14475,-4.4807
992_270.279238,-0.71274,3.858e-16,-2.1802,0.043375,0.14475,-4.4848
876_300.289804,-0.58807,-5.3291e-16,-2.1786,0.043519,0.14475,-4.4878
1256_576.678954,-0.62346,6.245e-16,-2.1776,0.043601,0.14475,-4.4895
1260_544.97825,-0.62906,-6.3838e-16,-2.1753,0.043798,0.14475,-4.4935
366_628.094749,-0.61946,-1.7208e-16,-2.174,0.043911,0.14475,-4.4958
288_322.862665,-0.61805,-1.6653e-16,-2.1731,0.043988,0.14475,-4.4974
265_305.070581,-0.6041,1.7486e-16,-2.1673,0.044498,0.14475,-4.5078
1259_252.848462,-0.61699,8.0491e-16,-2.1631,0.044858,0.14475,-4.515
1530_889.034379,-0.59681,5.5511e-18,-2.1629,0.044883,0.14475,-4.5155
243_158.002904,-0.59554,3.4139e-16,-2.1619,0.044964,0.14475,-4.5172
2006_649.958762,-0.5962,-3.3862e-16,-2.1616,0.044992,0.14475,-4.5177
712_387.055685,-0.59946,-5.1348e-16,-2.1614,0.045013,0.14475,-4.5181
1985_655.224032,-0.59376,6.8279e-16,-2.1612,0.045025,0.14475,-4.5184
1490_889.038803,-0.59224,-7.0499e-16,-2.1601,0.045128,0.14475,-4.5204
1120_383.014099,-0.59154,1.6653e-16,-2.1596,0.045169,0.14475,-4.5213
670_319.262698,-0.59161,8.6875e-16,-2.1595,0.045175,0.14475,-4.5214
2258_622.079641,-0.58601,-1.8319e-16,-2.1565,0.04545,0.14475,-4.5268
1246_595.226803,-0.58578,-5.218e-16,-2.1564,0.045454,0.14475,-4.5269
953_360.883868,-0.59109,5.107e-16,-2.155,0.045584,0.14475,-4.5295
2405_672.962006,-0.58245,-1.8319e-16,-2.1535,0.04571,0.14475,-4.5319
2549_636.791136,-0.58131,-3.4694e-16,-2.1535,0.045712,0.14475,-4.532
1587_644.794763,-0.57918,1.6931e-16,-2.152,0.045846,0.14475,-4.5346
340_625.319594,-0.57859,-8.7985e-16,-2.1516,0.045885,0.14475,-4.5354
2576_681.886093,-0.57706,1.7764e-16,-2.1512,0.045921,0.14475,-4.5361
1655_888.32014,-0.57882,5.5511e-18,-2.1507,0.045966,0.14475,-4.537
2627_648.653363,-0.5764,7.272e-16,-2.1505,0.04598,0.14475,-4.5372
1362_384.238137,-0.59407,8.2989e-16,-2.1505,0.045988,0.14475,-4.5374
3080_640.723602,-0.57458,-1.8319e-16,-2.1496,0.046063,0.14475,-4.5388
2252_697.345211,-0.58537,5.0515e-16,-2.1476,0.046244,0.14475,-4.5424
567_580.89221,-0.57088,7.2164e-16,-2.1473,0.04627,0.14475,-4.5429
1436_889.044526,-0.56989,-1.6931e-16,-2.1465,0.046341,0.14475,-4.5443
1415_190.848209,-0.59383,-3.3307e-16,-2.1465,0.046342,0.14475,-4.5443
798_211.166936,0.58376,-3.4313e-16,2.1461,0.046379,0.14475,-4.545
1929_670.733812,-0.58058,8.521e-16,-2.1455,0.046434,0.14475,-4.5461
350_604.324745,-0.57931,-7.0222e-16,-2.1452,0.046464,0.14475,-4.5466
1743_719.650505,-0.56941,5.5789e-16,-2.1447,0.046509,0.14475,-4.5475
1437_397.117086,-0.57846,-1.6653e-16,-2.1446,0.046519,0.14475,-4.5477
330_605.423538,-0.57582,-1.6653e-16,-2.1445,0.046528,0.14475,-4.5479
1143_280.264007,-0.56745,1.9151e-16,-2.1443,0.046547,0.14475,-4.5482
1715_589.479264,-0.56544,3.4694e-16,-2.1438,0.046592,0.14475,-4.5491
3597_589.637802,-0.56744,7.383e-16,-2.1435,0.046618,0.14475,-4.5496
1726_768.323574,-0.56819,-5.4678e-16,-2.1435,0.046621,0.14475,-4.5496
1471_681.726873,-0.56506,-7.383e-16,-2.1433,0.046637,0.14475,-4.55
311_272.794791,-0.56526,-9.2426e-16,-2.1432,0.046641,0.14475,-4.55
3734_555.288276,-0.56528,-7.1054e-16,-2.1423,0.046727,0.14475,-4.5517
1339_577.966419,-0.5688,-3.7192e-16,-2.1421,0.046748,0.14475,-4.5521
3866_721.694865,-0.56343,-1.8874e-16,-2.142,0.046753,0.14475,-4.5522
3865_664.703067,-0.5633,-7.272e-16,-2.1415,0.0468,0.14475,-4.5531
1821_254.845505,-0.56063,-1.8041e-16,-2.1408,0.046868,0.14475,-4.5544
2108_627.722982,-0.56755,5.4123e-16,-2.1407,0.046874,0.14475,-4.5545
3886_749.854615,-0.56208,1.8596e-16,-2.1406,0.04688,0.14475,-4.5546
527_563.475331,-0.55961,-3.747e-16,-2.1401,0.046931,0.14475,-4.5556
1827_250.803914,-0.56321,2.7756e-18,-2.14,0.046942,0.14475,-4.5558
2213_629.665671,-0.58084,-7.0222e-16,-2.1398,0.046957,0.14475,-4.5561
3628_269.860194,-0.56573,5.4678e-16,-2.1395,0.04698,0.14475,-4.5565
1583_655.810108,-0.5621,-1.8319e-16,-2.1388,0.047045,0.14475,-4.5578
1485_295.878111,-0.55993,7.3552e-16,-2.1388,0.04705,0.14475,-4.5579
1442_343.296244,-0.55696,-2.7756e-18,-2.1383,0.04709,0.14475,-4.5586
4294_510.65879,-0.55679,1.9151e-16,-2.1383,0.047098,0.14475,-4.5588
3291_664.708054,-0.55859,-1.9151e-16,-2.1381,0.04711,0.14475,-4.559
3369_610.468822,-0.55851,-7.5773e-16,-2.1374,0.047176,0.14475,-4.5603
3351_689.122709,-0.55796,-3.8303e-16,-2.1372,0.047198,0.14475,-4.5607
2276_667.425122,-0.57167,-1.1102e-17,-2.137,0.047213,0.14475,-4.561
3835_855.509738,-0.5546,-5.5511e-16,-2.1368,0.047232,0.14475,-4.5613
4198_807.436218,-0.55708,8.3267e-18,-2.1366,0.047249,0.14475,-4.5616
1828_544.237966,-0.5594,-5.6344e-16,-2.1366,0.047252,0.14475,-4.5617
308_305.147271,-0.5987,-3.3307e-16,-2.1364,0.047271,0.14475,-4.5621
4030_759.627246,-0.56042,3.6915e-16,-2.1363,0.047282,0.14475,-4.5623
3447_578.798596,-0.55653,1.9151e-16,-2.1361,0.047294,0.14475,-4.5625
4322_889.063261,-0.55527,-5.4956e-16,-2.1354,0.047366,0.14475,-4.5639
2032_665.920042,-0.56218,5.3846e-16,-2.135,0.047403,0.14475,-4.5646
508_553.331384,-0.5518,-3.969e-16,-2.135,0.047403,0.14475,-4.5646
3530_565.317721,-0.55508,9.5202e-16,-2.1349,0.047409,0.14475,-4.5647
3603_759.745321,-0.55785,7.4107e-16,-2.1348,0.047421,0.14475,-4.5649
157_195.135628,0.52848,-1.9429e-17,2.1346,0.047432,0.14475,-4.5651
2200_663.033216,-0.5634,-3.8303e-16,-2.1344,0.047453,0.14475,-4.5655
1177_120.966155,-0.56386,-2.7756e-18,-2.1344,0.047454,0.14475,-4.5655
2916_722.522013,-0.56609,5.4401e-16,-2.1341,0.047487,0.14475,-4.5662
1334_313.818448,-0.61019,4.6352e-16,-2.134,0.047489,0.14475,-4.5662
3590_824.173018,-0.56197,3.7192e-16,-2.1339,0.047496,0.14475,-4.5663
2236_595.495795,-0.57219,3.525e-16,-2.1337,0.047523,0.14475,-4.5668
2373_453.188461,-0.55956,-7.4662e-16,-2.1336,0.047532,0.14475,-4.567
4632_839.387555,-0.54964,-7.494e-16,-2.1334,0.047544,0.14475,-4.5672
2502_599.320858,-0.5568,3.8858e-16,-2.1321,0.047664,0.14475,-4.5695
1343_363.076452,-0.551,5.5927e-16,-2.1312,0.047756,0.14475,-4.5712
