peakID,Control1,Control2,Control3,Control4,Control5,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,Serum-free1,Serum-free2,Serum-free3,Serum-free4,Serum-free5,RA1,RA2,RA3,RA4,RA5
777_138.088983,4680755.99,5031690.184,2687765.339,6339649.846,4590918.687,0,1959812.107,2092812.393,4616620.369,2448214.353,3207615.988,2150869,2952168.077,3796532.048,1660354.816,2156880.903,2005936.742,4118975.792,0,0
778_295.100051,0,0,9585795.845,0,0,14289137.11,0,2404180.699,3100233.175,2227003.239,1702244.593,3584693.5,3322032.709,2484113.041,3512043.193,8794973.162,5372672.703,3940804.364,3254943.337,2364464.496
779_243.159181,0,0,0,2066224.208,0,0,1382818.913,1745121.951,2424139.125,0,0,0,0,0,0,0,0,0,0,1708204.071
780_304.15203,4213465.569,6119669.14,1771676.804,6735315.811,2662324.148,0,1927292.571,2591965.522,4363790.358,8284138.606,3479316.071,2479548.25,2363763.155,3362875.451,2556467.215,0,1952018.531,2386018.067,1810611.774,1621813.453
781_335.27927,0,0,3059414.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782_183.2108,2296307.725,6159129.315,0,5422789.963,3531149.921,0,2018377.235,2691810.34,5273612.89,4321762.761,2471616.177,0,1688034.254,5771583.777,1812826.751,2872831.069,1690165.218,4097139.028,1816792.829,0
783_441.151397,0,0,0,0,0,2473545.76,0,0,0,0,0,1836054.375,4602480.262,0,1397860.235,8327099.784,0,4469714.985,0,0
784_387.358203,0,0,80832511.44,1942158.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785_658.198954,4481896.402,0,3478398.223,0,8216721.079,25900969.26,5597583.618,0,0,0,2895494.913,11512189,8176195.545,0,4476701.798,7156425.479,0,4499637.945,3543747.704,2828623.372
786_239.237037,5594738.009,6008716.609,0,6577598.808,6315209.114,0,0,0,7575303.198,0,0,0,0,6818133.203,0,0,0,6000014.843,0,0
787_106.423202,1920961.908,4882530.982,0,5222506.572,4854660.485,0,2809316.263,2629932.331,6414164.634,4600189.543,2657961.877,2181862.25,2167483.576,6132232.408,2269996.837,2280958.071,2766794.232,5455029.041,2873267.127,2605552.07
788_377.180691,1966130.081,0,1469145.169,1773617.637,0,3329053.25,0,1581418.471,0,3463744.283,2030525.544,0,0,0,0,0,1749757.947,0,2478749.52,1934324.336
789_190.979421,3533416.859,4254600.705,0,3773018.072,4552626.079,0,0,0,17997663.98,0,0,0,0,4921294.85,0,0,0,1998719.046,0,0
790_111.460636,0,0,3766354.696,0,3334497.318,6069412.068,7708524.29,2791001.849,3132304.262,0,4752462.434,5186320,3545175.164,3596329.527,7185376.459,4772569.368,2017943.815,1929216.182,3748005.344,5043417.12
791_265.04726,4194990.385,4054582.13,1736154.728,4136430.005,2858699.783,0,2905523.235,3320092.015,4365789.575,4931698.758,3852005.812,3261143.75,3376842.119,3222919.207,2742872.045,2391973.206,2836170.718,3707075.83,2583110.388,2614470.232
792_176.970724,3775738.342,5597488.382,9259960.968,0,1895354.374,2705289.249,3624629.963,3829409.13,4038130.139,6568885.483,4810369.806,3557328.25,1757157.23,4866630.634,2969996.126,2919930.296,5456577.023,0,10106517.45,4721459.955
793_215.127871,0,0,0,0,0,0,0,0,2036415.115,2143089.836,0,0,2580367.416,1824364.511,0,0,0,0,0,0
794_209.114899,3763851.687,3568429.395,2557584.796,3221489.565,3691214.191,5219520.506,2377569.255,3262418.49,4159888.904,3829959.733,3306333.203,2660410.75,3266685.471,3419156.466,2030056.253,2783217.025,2864347.569,3290754.877,3681135.466,2793188.363
795_110.779387,5321603.847,0,0,0,4774658.151,0,3759258.918,5878202.087,6150652.266,6324526.708,0,4483128.5,0,0,3673405.527,3509344.433,5891088.297,5523824.531,6002142.524,3681420.585
796_363.162647,2179800.652,3394810.142,2965187.934,2188681.966,0,3102814.786,1488625.608,14866567.3,2308389.575,2109740.674,2038611.864,2390197.25,6736873.812,1979090.72,1452560.778,2078344.831,14687278.86,3008099.573,4388738.704,2295754.955
797_274.839343,2700463.288,0,0,0,3197531.905,4581816.798,0,0,0,0,0,2579886.25,2158414.517,0,0,0,0,1970549.92,0,0
798_211.166936,3586422.3,3258730.177,2274026.71,1780510.066,2202090.63,15575561.6,3320994.532,4545095.025,2898468.814,4793158.075,4413929.628,3566603.5,3775101.849,2530054.96,3424911.857,3600234.655,4045822.568,2785628.7,4227319.207,4252423.708
799_557.277413,0,0,3823330.967,1922847.029,3021269.433,6137776.751,6868099.626,2572065.86,0,0,4911396.925,5353044,3034315.433,2703788.267,5784429.453,4551257.224,2056855.144,0,4294303.43,4118413.486
800_208.37296,10887791.94,10121771.79,15689936.74,0,0,0,13207509.11,15267650.25,0,25190983.51,16837211.75,13345844,11824993.66,8593645.559,14334700.17,14493109.12,15286889.19,7874169.965,18059169.58,16286267.33
801_309.149583,0,0,0,0,0,0,0,0,0,0,0,1533163.25,2563552.74,0,0,0,0,1942184.834,0,0
802_263.008376,0,0,1734824.365,0,0,4699315.711,0,0,1977341.255,0,0,0,7463474.18,1719995.664,2916522.754,0,0,9056861.75,0,0
803_101.751136,2391519.811,6343944.425,0,5408661.252,4294297.446,0,2209212.62,2110592.991,6390878.982,3639396.531,2311685.69,1461984.5,1576961.848,5714440.871,2088288.286,2093246.949,2171469.675,5223876.794,1771402.578,1856137.088
804_261.037087,0,0,1524877.154,0,0,0,0,2380327.064,3274119.243,0,2938401.504,3489580.75,5974822.328,3295591.793,3956929.562,7251845.976,3659862.267,7055345.867,2710842.389,2009540.165
805_269.247605,2436764.426,2730348.271,1516507.289,3955683.597,2531156.578,0,3930171.484,4548345.778,4128198.979,5410742.902,4497552.91,4033192.75,3426263.502,3202468.21,2469673.474,3618132.473,4233948.175,3498203.369,3314614.096,3768929.667
806_239.089088,3922693.18,3237595.276,2350478.806,3010621.478,3703687.921,3421693.237,2202109.177,2342900.506,4480070.512,3290514.975,3160924.311,2657428.75,3059490.317,3138937.247,2279690.58,2709482.499,2428648.971,3439970.845,3451276.247,2705552.645
807_277.128278,0,0,2483677.729,0,0,0,1272221.703,0,0,2918935.718,0,0,0,0,0,1409715.418,1626913.567,0,2344622.378,2303268.392
808_284.294892,2780420.246,5024975.538,0,6126604.669,2906340.773,0,0,0,4982788.861,0,0,0,0,4822466.192,0,0,0,4330579.77,0,0
809_399.358203,2424958.119,2365004.746,6786780.961,9454677.561,0,5256274.201,2724124.15,2277336.577,3373244.158,6536046.805,4645474.584,2873814.25,0,3258808.527,2297252.901,2278491.748,2820269.655,2412455.26,2984380.242,3258359.547
810_297.154503,0,0,0,0,0,0,0,3611430.06,0,0,0,0,0,0,0,0,3832620.861,0,0,0
811_319.247998,0,0,0,0,0,0,0,0,2231591.4,0,0,0,0,0,0,0,0,0,0,0
812_213.184998,2773019.31,2134701.87,2327437.827,3240177.2,1874983.914,0,2943738.501,2459476.354,4467295.982,6457777.503,3187441.46,1294651,2012608.974,4308930.536,2769744.786,4280130.496,1989109.694,3027067.65,2982489.271,2925646.744
