"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1798_800.646117,0.51944,-5.6621e-16,1.7895,0.078029,0.34151,-4.4467
3067_624.989114,0.51916,5.7454e-16,1.7892,0.07808,0.34151,-4.4472
2631_634.526979,0.51911,-5.5789e-16,1.7888,0.078146,0.34151,-4.4478
2445_692.780794,0.51855,5.7454e-16,1.7871,0.078419,0.34151,-4.4505
1792_752.193633,0.5186,-3.8025e-16,1.787,0.07845,0.34151,-4.4508
265_305.070581,0.52252,-1.3878e-17,1.7866,0.078504,0.34151,-4.4513
134_649.413266,0.5433,5.5095e-16,1.7863,0.078553,0.34151,-4.4518
2422_616.96097,0.51827,-3.8025e-16,1.7857,0.078657,0.34151,-4.4528
167_177.007108,0.52024,-2.498e-17,1.785,0.078772,0.34151,-4.454
2515_628.711489,0.51765,3.747e-16,1.7848,0.078798,0.34151,-4.4542
2932_712.840177,0.51853,1.8319e-16,1.7842,0.078906,0.34151,-4.4553
1373_302.195807,0.51948,3.7192e-16,1.7833,0.079047,0.34151,-4.4566
3114_578.29133,0.51715,-9.4647e-16,1.783,0.079092,0.34151,-4.4571
2850_581.817499,0.51653,7.6605e-16,1.7815,0.079342,0.34151,-4.4595
298_513.23066,0.51717,-2.0539e-16,1.7807,0.079477,0.34151,-4.4608
444_811.116813,0.51599,-1.8319e-16,1.7795,0.079669,0.34151,-4.4627
166_528.364321,0.53423,3.067e-16,1.7793,0.079702,0.34151,-4.463
4539_799.151198,0.51525,1.9429e-16,1.7776,0.079987,0.34151,-4.4657
3489_569.655495,0.51579,3.6915e-16,1.7751,0.080402,0.34151,-4.4697
2630_620.056563,0.51429,-3.9968e-16,1.7747,0.080474,0.34151,-4.4704
3513_717.997783,0.51493,3.636e-16,1.7736,0.080661,0.34151,-4.4722
2718_606.375307,0.51326,-7.6883e-16,1.7719,0.080946,0.34151,-4.4749
1228_453.126131,0.51714,-3.4139e-16,1.7717,0.080977,0.34151,-4.4752
3109_729.795173,0.51274,-3.858e-16,1.7703,0.081206,0.34151,-4.4774
1656_651.525471,0.51221,-7.6883e-16,1.7684,0.081531,0.34151,-4.4804
1145_453.368738,0.52258,-5.0238e-16,1.7675,0.081673,0.34151,-4.4818
1817_559.169102,0.51133,5.8009e-16,1.7647,0.082156,0.34151,-4.4863
1704_584.854094,0.51096,9.7422e-16,1.7636,0.082341,0.34151,-4.488
1582_566.339349,0.51048,5.6344e-16,1.7621,0.082591,0.34151,-4.4904
4033_752.320476,0.50946,3.7192e-16,1.7603,0.082898,0.34151,-4.4932
721_257.247247,0.50952,7.7716e-16,1.7595,0.083033,0.34151,-4.4945
1611_597.098356,0.50944,2.1094e-16,1.7591,0.083111,0.34151,-4.4952
2986_611.337784,0.50878,-1.9706e-16,1.7581,0.083273,0.34151,-4.4967
1229_446.266996,0.50862,1.7486e-16,1.7554,0.083749,0.34151,-4.501
3176_587.327144,0.50776,2.1372e-16,1.7554,0.083751,0.34151,-4.5011
3271_819.318652,0.50982,-2.0539e-16,1.7552,0.08378,0.34151,-4.5013
4365_817.288015,0.50745,9.6312e-16,1.7541,0.083964,0.34151,-4.503
