"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"586.1714899902 Da",587.178766,"","C31H22N8O5","2978_587.178766",0.107610009799942,"C16641","Irinotecan","C33H38N4O6",0.000183547409075202,"C16641|C03428","Irinotecan|Presqualene diphosphate",FALSE
"553.9695216394 Da",554.976798,"","C21H11N6O5PS3","2979_554.976798",5.10217836059996,"C00301","ADP-ribose","C15H23N5O14P2",0.00912616102836177,"","",FALSE
"596.2198779818 Da",597.227154,"","C32H40N2O3S3","2980_597.227154",4.86232201819996,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00808927966624192,"","",TRUE
"596.5128736557 Da",597.52015,"","C35H68N2O5","2981_597.52015",4.56932634429995,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00760183273485715,"","",TRUE
"634.7825177172 Da",635.789794,"","C18H6NO9PS7","2982_635.789794",0.359582282800034,"C11278","Aflatoxin B1exo-8,9-epoxide-GSH","C27H29N3O13S",0.00056614461992054,"C11278","Aflatoxin B1exo-8,9-epoxide-GSH",FALSE
"668.0953752978 Da",669.102652,"","C25H21N10O9PS","2983_669.102652",1.87347529780004,"C01613","Stachyose","C24H42O21",0.00281208903189769,"","",FALSE
"773.6062614120 Da",774.613538,"","C43H80N7O3P","2984_774.613538",2.65673858800005,"C01217","5,6,7,8-Tetrahydromethanopterin","C30H45N6O16P",0.00342247226519885,"","",FALSE
"612.4934336215 Da",613.50071,"","C32H64N6O5","2985_613.50071",0.341433621499959,"C00127","Glutathione disulfide","C20H32N6O12S2",0.000557759545831688,"C00127","Glutathione disulfide",TRUE
"610.3305080475 Da",611.337784,"","C31H52N2O6P2","2986_611.337784",1.82149195250008,"C00127","Glutathione disulfide","C20H32N6O12S2",0.00297555501329749,"","",TRUE
"582.5228979831 Da",583.530174,"DG_15:0_18:0_0:0_","C36H70O5","2987_583.530174",0.275097983100068,"C00500","Biliverdin","C33H34N4O6",0.00047247577938477,"C00500","Biliverdin",FALSE
"591.7336224186 Da",592.740899,"","","2988_592.740899",1.42322241860006,"C05791","D-Urobilinogen","C33H42N4O6",0.00241097297049156,"","",FALSE
"618.5644245650 Da",619.571701,"","","2989_619.571701",0.295424564999962,"C16542","APC","C33H38N4O8",0.000477825291256657,"C16542","APC",TRUE
"557.2327566958 Da",558.240033,"","C33H36NO5P","2990_558.240033",1.83894330419992,"C00301","ADP-ribose","C15H23N5O14P2",0.00328927989773032,"","",FALSE
"728.8227416406 Da",729.830018,"","C21H12N7O3PS9","2991_729.830018",4.75794164060005,"C19848","Adenylated molybdopterin","C20H26N10O12P2S2",0.00657115446103726,"","",FALSE
"681.3490655881 Da",682.356342,"Aypgkf","C34H47N7O8","2992_682.356342",5.79983441190006,"C00882","Dephospho-CoA","C21H35N7O13P2S",0.00844043323346667,"","",FALSE
"640.5696657291 Da",641.576942,"","C45H72N2","2993_641.576942",2.45776572910006,"C12632","Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]","C27H26O18",0.00385162183795673,"","",FALSE
"719.5251875349 Da",720.532464,"","C42H74NO6P","2994_720.532464",2.25338753490007,"C04489","5-Methyltetrahydropteroyltri-L-glutamate","C30H39N9O12",0.0031416089896467,"","",FALSE
"601.9179302950 Da",602.925207,"","C17H8N4O15P2S","2995_602.925207",0.835730295000076,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00139037605006449,"","",FALSE
"667.8682031505 Da",668.87548,"","C21H20N2O3S10","2996_668.87548",1.64630315049999,"C01613","Stachyose","C24H42O21",0.00247110332233148,"","",FALSE
"758.4742392772 Da",759.481516,"","C44H58N10O2","2997_759.481516",13.4069392772,"C13051","Nicotinic acid adenine dinucleotide phosphate","C21H28N6O18P3",0.0179942661249527,"","",FALSE
"773.9303916745 Da",774.937668,"","C32H13N2O14P3S","2998_774.937668",2.33260832550002,"C01217","5,6,7,8-Tetrahydromethanopterin","C30H45N6O16P",0.00300492014368844,"","",FALSE
"657.8957844127 Da",658.903061,"","C19H14N8O3S8","2999_658.903061",1.96561558730002,"C01204","Phytic acid","C6H18O24P6",0.00297883098981092,"","",FALSE
"587.7756246450 Da",588.782901,"","C17H5N2O4PS8","3000_588.782901",0.709024645,"C01222","GDP-4-dehydro-6-deoxy-D-mannose","C16H23N5O15P2",0.00120774141298449,"","",FALSE
"578.4172529502 Da",579.424529,"","","3001_579.424529",1.47774704979997,"C01284","1D-myo-Inositol 1,3,4,5,6-pentakisphosphate","C6H17O21P5",0.00254830107140081,"","",FALSE
"609.5648707442 Da",610.572147,"","","3002_610.572147",2.48327074420001,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.00409050569841025,"","",FALSE
